ResourcePoints:
RP 1 item 1 at (492,1042)
RP 2 item 1 at (1987,503)
RP 3 item 1 at (327,1729)
RP 4 item 2 at (840,612)
RP 5 item 2 at (303,1169)
RP 6 item 2 at (1709,1157)
RP 7 item 3 at (1560,933)
RP 8 item 3 at (1099,278)
RP 9 item 3 at (1816,1335)
RP 10 item 4 at (1097,1826)
RP 11 item 4 at (1512,1267)
RP 12 item 4 at (1810,1633)
Buildings:
B 1 WoodenHut at (807,1249)
B 2 SmeltingHut at (73,1658)
B 3 BlacksmithHut at (930,1272)
B 4 CarpenterHut at (1544,878)
B 5 GlassHut at (1923,1709)
B 6 CozyHut at (440,165)
B 256 Storage at (1000,1000)
[Tick 0] NPCs: (991,1000) (991,1000)
[Tick 1] NPCs: (982,1000) (982,1000)
[Tick 2] NPCs: (973,1000) (973,1000)
[Tick 3] NPCs: (964,1000) (964,1000)
[Tick 4] NPCs: (955,1000) (955,1000)
[Tick 5] NPCs: (946,1000) (946,1000)
[Tick 6] NPCs: (937,1000) (937,1000)
[Tick 7] NPCs: (928,1000) (928,1000)
[Tick 8] NPCs: (919,1000) (919,1000)
[Tick 9] NPCs: (910,1000) (910,1000)
[Tick 10] NPCs: (901,1000) (901,1000)
[Tick 11] NPCs: (892,1000) (892,1000)
[Tick 12] NPCs: (883,1000) (883,1000)
[Tick 13] NPCs: (874,1000) (874,1000)
[Tick 14] NPCs: (865,1000) (865,1000)
[Tick 15] NPCs: (856,1000) (856,1000)
[Tick 16] NPCs: (847,1000) (847,1000)
[Tick 17] NPCs: (840,998) (840,998)
[Tick 18] NPCs: (840,989) (840,989)
[Tick 19] NPCs: (840,980) (840,980)
[Tick 20] NPCs: (840,971) (840,971)
[Tick 21] NPCs: (840,962) (840,962)
[Tick 22] NPCs: (840,953) (840,953)
[Tick 23] NPCs: (840,944) (840,944)
[Tick 24] NPCs: (840,935) (840,935)
[Tick 25] NPCs: (840,926) (840,926)
[Tick 26] NPCs: (840,917) (840,917)
[Tick 27] NPCs: (840,908) (840,908)
[Tick 28] NPCs: (840,899) (840,899)
[Tick 29] NPCs: (840,890) (840,890)
[Tick 30] NPCs: (840,881) (840,881)
[Tick 31] NPCs: (840,872) (840,872)
[Tick 32] NPCs: (840,863) (840,863)
[Tick 33] NPCs: (840,854) (840,854)
[Tick 34] NPCs: (840,845) (840,845)
[Tick 35] NPCs: (840,836) (840,836)
[Tick 36] NPCs: (840,827) (840,827)
[Tick 37] NPCs: (840,818) (840,818)
[Tick 38] NPCs: (840,809) (840,809)
[Tick 39] NPCs: (840,800) (840,800)
[Tick 40] NPCs: (840,791) (840,791)
[Tick 41] NPCs: (840,782) (840,782)
[Tick 42] NPCs: (840,773) (840,773)
[Tick 43] NPCs: (840,764) (840,764)
[Tick 44] NPCs: (840,755) (840,755)
[Tick 45] NPCs: (840,746) (840,746)
[Tick 46] NPCs: (840,737) (840,737)
[Tick 47] NPCs: (840,728) (840,728)
[Tick 48] NPCs: (840,719) (840,719)
[Tick 49] NPCs: (840,710) (840,710)
[Tick 50] NPCs: (840,701) (840,701)
[Tick 51] NPCs: (840,692) (840,692)
[Tick 52] NPCs: (840,683) (840,683)
[Tick 53] NPCs: (840,674) (840,674)
[Tick 54] NPCs: (840,665) (840,665)
[Tick 55] NPCs: (840,656) (840,656)
[Tick 56] NPCs: (840,647) (840,647)
[Tick 57] NPCs: (840,638) (840,638)
[Tick 58] NPCs: (840,629) (840,629)
[Tick 59] NPCs: (840,620) (840,620)
[Tick 60] NPCs: (840,612) (840,612)
[Tick 61] NPCs: (840,612) (840,612)
[Tick 62] NPCs: (840,612) (840,612)
[Tick 63] NPCs: (840,612) (840,612)
[Tick 64] NPCs: (840,612) (840,612)
[Tick 65] NPCs: (840,612) (840,612)
[Tick 66] NPCs: (840,612) (840,612)
[Tick 67] NPCs: (840,612) (840,612)
[Tick 68] NPCs: (840,612) (840,612)
[Tick 69] NPCs: (840,612) (840,612)
[Tick 70] NPCs: (840,612) (840,612)
[Tick 71] NPCs: (840,612) (840,612)
[Tick 72] NPCs: (840,612) (840,612)
[Tick 73] NPCs: (840,612) (840,612)
[Tick 74] NPCs: (840,612) (840,612)
[Tick 75] NPCs: (840,612) (840,612)
[Tick 76] NPCs: (840,612) (840,612)
[Tick 77] NPCs: (840,612) (840,612)
[Tick 78] NPCs: (840,612) (840,612)
[Tick 79] NPCs: (840,612) (840,612)
[Tick 80] NPCs: (840,612) (840,612)
[Tick 81] NPCs: (840,612) (840,612)
[Tick 82] NPCs: (840,612) (840,612)
[Tick 83] NPCs: (840,612) (840,612)
[Tick 84] NPCs: (840,612) (840,612)
[Tick 85] NPCs: (840,612) (840,612)
[Tick 86] NPCs: (840,612) (840,612)
[Tick 87] NPCs: (840,612) (840,612)
[Tick 88] NPCs: (840,612) (840,612)
[Tick 89] NPCs: (840,612) (840,612)
[Tick 90] NPCs: (840,612) (840,612)
[Tick 91] NPCs: (840,612) (840,612)
[Tick 92] NPCs: (840,612) (840,612)
[Tick 93] NPCs: (840,612) (840,612)
[Tick 94] NPCs: (840,612) (840,612)
[Tick 95] NPCs: (840,612) (840,612)
[Tick 96] NPCs: (840,612) (840,612)
[Tick 97] NPCs: (840,612) (840,612)
[Tick 98] NPCs: (840,612) (840,612)
[Tick 99] NPCs: (840,612) (840,612)
[Tick 100] NPCs: (840,612) (840,612)
[Tick 101] NPCs: (840,612) (840,612)
[Tick 102] NPCs: (840,612) (840,612)
[Tick 103] NPCs: (840,612) (840,612)
[Tick 104] NPCs: (840,612) (840,612)
[Tick 105] NPCs: (840,612) (840,612)
[Tick 106] NPCs: (840,612) (840,612)
[Tick 107] NPCs: (840,612) (840,612)
[Tick 108] NPCs: (840,612) (840,612)
[Tick 109] NPCs: (840,612) (840,612)
[Tick 110] NPCs: (840,612) (840,612)
[Tick 111] NPCs: (840,612) (840,612)
[Tick 112] NPCs: (840,612) (840,612)
[Tick 113] NPCs: (840,612) (840,612)
[Tick 114] NPCs: (840,612) (840,612)
[Tick 115] NPCs: (840,612) (840,612)
[Tick 116] NPCs: (840,612) (840,612)
[Tick 117] NPCs: (840,612) (840,612)
[Tick 118] NPCs: (840,612) (840,612)
[Tick 119] NPCs: (840,612) (840,612)
[Tick 120] NPCs: (840,612) (840,612)
[Tick 121] NPCs: (840,612) (840,612)
[Tick 122] NPCs: (840,612) (840,612)
[Tick 123] NPCs: (840,612) (840,612)
[Tick 124] NPCs: (840,612) (840,612)
[Tick 125] NPCs: (840,612) (840,612)
[Tick 126] NPCs: (840,612) (840,612)
[Tick 127] NPCs: (840,612) (840,612)
[Tick 128] NPCs: (840,612) (840,612)
[Tick 129] NPCs: (840,612) (840,612)
[Tick 130] NPCs: (840,612) (840,612)
[Tick 131] NPCs: (840,612) (840,612)
[Tick 132] NPCs: (840,612) (840,612)
[Tick 133] NPCs: (840,612) (840,612)
[Tick 134] NPCs: (840,612) (840,612)
[Tick 135] NPCs: (840,612) (840,612)
[Tick 136] NPCs: (840,612) (840,612)
[Tick 137] NPCs: (840,612) (840,612)
[Tick 138] NPCs: (840,612) (840,612)
[Tick 139] NPCs: (840,612) (840,612)
[Tick 140] NPCs: (840,612) (840,612)
[Tick 141] NPCs: (840,612) (840,612)
[Tick 142] NPCs: (840,612) (840,612)
[Tick 143] NPCs: (840,612) (840,612)
[Tick 144] NPCs: (840,612) (840,612)
[Tick 145] NPCs: (840,612) (840,612)
[Tick 146] NPCs: (840,612) (840,612)
[Tick 147] NPCs: (840,612) (840,612)
[Tick 148] NPCs: (840,612) (840,612)
[Tick 149] NPCs: (840,612) (840,612)
[Tick 150] NPCs: (840,612) (840,612)
[Tick 151] NPCs: (840,612) (840,612)
[Tick 152] NPCs: (840,612) (840,612)
[Tick 153] NPCs: (840,612) (840,612)
[Tick 154] NPCs: (840,612) (840,612)
[Tick 155] NPCs: (840,612) (840,612)
[Tick 156] NPCs: (840,612) (840,612)
[Tick 157] NPCs: (840,612) (840,612)
[Tick 158] NPCs: (840,612) (840,612)
[Tick 159] NPCs: (840,612) (840,612)
[Tick 160] NPCs: (840,612) (840,612)
[Tick 161] NPCs: (840,612) (840,612)
[Tick 162] NPCs: (840,612) (840,612)
[Tick 163] NPCs: (840,612) (840,612)
[Tick 164] NPCs: (840,612) (840,612)
[Tick 165] NPCs: (840,612) (840,612)
[Tick 166] NPCs: (840,612) (840,612)
[Tick 167] NPCs: (840,612) (840,612)
[Tick 168] NPCs: (840,612) (840,612)
[Tick 169] NPCs: (840,612) (840,612)
[Tick 170] NPCs: (840,612) (840,612)
[Tick 171] NPCs: (840,612) (840,612)
[Tick 172] NPCs: (840,612) (840,612)
[Tick 173] NPCs: (840,612) (840,612)
[Tick 174] NPCs: (840,612) (840,612)
[Tick 175] NPCs: (840,612) (840,612)
[Tick 176] NPCs: (840,612) (840,612)
[Tick 177] NPCs: (840,612) (840,612)
[Tick 178] NPCs: (840,612) (840,612)
[Tick 179] NPCs: (840,612) (840,612)
[Tick 180] NPCs: (840,612) (840,612)
[Tick 181] NPCs: (840,612) (840,612)
[Tick 182] NPCs: (840,612) (840,612)
[Tick 183] NPCs: (840,612) (840,612)
[Tick 184] NPCs: (840,612) (840,612)
[Tick 185] NPCs: (840,612) (840,612)
[Tick 186] NPCs: (840,612) (840,612)
[Tick 187] NPCs: (840,612) (840,612)
[Tick 188] NPCs: (840,612) (840,612)
[Tick 189] NPCs: (840,612) (840,612)
[Tick 190] NPCs: (840,612) (840,612)
[Tick 191] NPCs: (840,612) (840,612)
[Tick 192] NPCs: (840,612) (840,612)
[Tick 193] NPCs: (840,612) (840,612)
[Tick 194] NPCs: (840,612) (840,612)
[Tick 195] NPCs: (840,612) (840,612)
[Tick 196] NPCs: (840,612) (840,612)
[Tick 197] NPCs: (840,612) (840,612)
[Tick 198] NPCs: (840,612) (840,612)
[Tick 199] NPCs: (840,612) (840,612)
